Back,Terug
Delete,Verwijderen
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
Groups,Groepen
"File can not be saved to the destination folder.","Bestand kan niet worden opgeslagen in de doelmap."
"The image content is invalid. Verify the content and try again.","Inhoud van de afbeelding is ongeldig. Controleer de inhoud en probeer het opnieuw."
ID,ID
"Group Name",Groepsnaam
"Group Code",Groepscode
"Use Default Value","Standaardwaarde gebruiken"
Description,Omschrijving
