Back,Voltar
Delete,Eliminar
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
Groups,Grupos
"File can not be saved to the destination folder.","O ficheiro não pode ser gravado na pasta de destino."
"Group Name","Nome do Grupo"
"Use Default Value","Usar o Valor Pré-definido"
Description,Descrição
